Path,Key,Year,Luminosity,Xsection,WeightedEventSum,Raw event count,Per event weight
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,DYJetsToLL_M-50,20UL16NanoAODv9,16.81,6197900,82448537.0,83522,1.2636573405
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,DYJetsToLL_M-50,20UL16NanoAODAPVv9,19.52,6197900,95170542.0,96001,1.2712232741
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,DYJetsToLL_M-50,20UL17NanoAODv9,41.48,6197900,102863931.0,105410,2.4993103948
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9_ext1-v1_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,DYJetsToLL_M-50,20UL17NanoAODv9,41.48,6197900,100865609.0,104092,2.5488260522
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,DYJetsToLL_M-50,20UL18NanoAODv9,59.83,6197900,96233328.0,96680,3.8533464934
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8_RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1_ext1-v1_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,DYJetsToLL_M-50,20UL18NanoAODv9,59.83,6197900,101415750.0,101505,3.6564375553
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8_RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,WWTo2L2Nu_TuneCP5,20UL16NanoAODv9,16.81,12178,32147079.59480001,25929,0.0063679868
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8_RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,WWTo2L2Nu_TuneCP5,20UL16NanoAODAPVv9,19.52,12178,33456498.30920001,26494,0.0071051835
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8_RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,WWTo2L2Nu_TuneCP5,20UL17NanoAODv9,41.48,12178,78687950.4166,64578,0.006419578
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8_RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,WWTo2L2Nu_TuneCP5,20UL18NanoAODv9,59.83,12178,110795281.867,89965,0.0065761802
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8_RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,TTTo2L2Nu_TuneCP5,20UL16NanoAODv9,16.81,72100,3140127171.4748006,1957958,0.0003859719
/ceph/cms/store/user/jguiang/VBSVHSkim/bkg_1lep_1ak8_2ak4_v1/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8_RunIISummer20UL16NanoAODAPVv9-106X_mcRun2_asymptotic_preVFP_v11-v1_NANOAODSIM_bkg_1lep_1ak8_2ak4_v1,TTTo2L2Nu_TuneCP5,20UL16NanoAODAPVv9,19.52,72100,2704527536.274201,1675664,0.0005203836
