Path,Key,Year,Luminosity,Xsection,WeightedEventSum,Raw event count,Per event weight
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSWZH_Inclusive_4f_TuneCP5_RunIISummer20UL16APV-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,WZH,20UL16APV-106X,19.52,1.67403,99993.0,21993,0.0003267935
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSWZH_Inclusive_4f_TuneCP5_RunIISummer20UL16-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,WZH,20UL16-106X,16.81,1.67403,99995.0,21910,0.0002814185
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSWZH_Inclusive_4f_TuneCP5_RunIISummer20UL17-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,WZH,20UL17-106X,41.48,1.67403,99993.0,21444,0.0006944362
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSWZH_Inclusive_4f_TuneCP5_RunIISummer20UL18-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,WZH,20UL18-106X,59.83,1.67403,99999.0,21829,0.0010015821
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSWWH_Inclusive_4f_TuneCP5_RunIISummer20UL16APV-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,WWH,20UL16APV-106X,19.52,1.50253,100000.0,29712,0.0002932938
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSWWH_Inclusive_4f_TuneCP5_RunIISummer20UL16-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,WWH,20UL16-106X,16.81,1.50253,98999.0,29583,0.0002551291
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSWWH_Inclusive_4f_TuneCP5_RunIISummer20UL17-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,WWH,20UL17-106X,41.48,1.50253,100000.0,29387,0.0006232494
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSWWH_Inclusive_4f_TuneCP5_RunIISummer20UL18-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,WWH,20UL18-106X,59.83,1.50253,100000.0,29692,0.0008989636
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSZZH_Inclusive_4f_TuneCP5_RunIISummer20UL16APV-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,ZZH,20UL16APV-106X,19.52,1.06028,99000.0,17534,0.0002090572
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSZZH_Inclusive_4f_TuneCP5_RunIISummer20UL16-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,ZZH,20UL16-106X,16.81,1.06028,98000.0,17634,0.0001818704
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSZZH_Inclusive_4f_TuneCP5_RunIISummer20UL17-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,ZZH,20UL17-106X,41.48,1.06028,98000.0,17251,0.0004487797
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSZZH_Inclusive_4f_TuneCP5_RunIISummer20UL18-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,ZZH,20UL18-106X,59.83,1.06028,99000.0,17252,0.0006407732
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSOSWWH_Inclusive_4f_TuneCP5_RunIISummer20UL16APV-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,OSWWH,20UL16APV-106X,19.52,2.52444,99998.0,26577,0.0004927805
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSOSWWH_Inclusive_4f_TuneCP5_RunIISummer20UL16-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,OSWWH,20UL16-106X,16.81,2.52444,99998.0,26949,0.0004243668
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSOSWWH_Inclusive_4f_TuneCP5_RunIISummer20UL17-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,OSWWH,20UL17-106X,41.48,2.52444,99996.0,26561,0.0010471795
/ceph/cms/store/user/jguiang/VBSVHSkim/sig_1lep_1ak8_2ak4_v1/VBSOSWWH_Inclusive_4f_TuneCP5_RunIISummer20UL18-106X_privateMC_NANOGEN_v1_sig_1lep_1ak8_2ak4_v1,OSWWH,20UL18-106X,59.83,2.52444,99994.0,26438,0.001510463
